0,	1.51232,	-0.0176803, -0.630491, -0.786784, -0.600832, -1.16521, 
100,	0.504284,	-0.00459362, -0.449315, -0.534566, -0.421724, -0.791552, 
200,	0.336521,	0.000334495, -0.324662, -0.361493, -0.298531, -0.535157, 
300,	0.462186,	0.00181544, -0.238823, -0.24276, -0.213735, -0.359271, 
400,	0.656509,	0.00194234, -0.179638, -0.161334, -0.155305, -0.23866, 
500,	0.835964,	0.00161503, -0.138758, -0.105522, -0.114983, -0.155999, 
600,	0.976415,	0.00119868, -0.110451, -0.0672943, -0.0870978, -0.0993913, 
700,	1.07684,	0.000825324, -0.09078, -0.0411386, -0.0677552, -0.0606692, 
800,	1.14378,	0.000529954, -0.0770433, -0.0232698, -0.054282, -0.0342249, 
900,	1.18511,	0.000310551, -0.0673851, -0.0110891, -0.0448424, -0.0162079, 
1000,	1.20779,	0.000153579, -0.0605312, -0.00281218, -0.038176, -0.00397458, 
1100,	1.21728,	4.41039e-05, -0.0556066, 0.00278609, -0.0334172, 0.00429008, 
1200,	1.21767,	-3.07236e-05, -0.0520105, 0.00654676, -0.0299717, 0.0098323, 
1300,	1.21189,	-8.09121e-05, -0.0493304, 0.00904734, -0.0274314, 0.0135077, 
1400,	1.20201,	-0.000113863, -0.047283, 0.0106843, -0.0255159, 0.0159037, 
1500,	1.18948,	-0.000134891, -0.0456735, 0.0117298, -0.0240328, 0.0174235, 
1600,	1.17529,	-0.00014774, -0.0443683, 0.0123707, -0.0228498, 0.018344, 
1700,	1.16011,	-0.000155017, -0.0432756, 0.0127353, -0.021876, 0.0188553, 
1800,	1.14441,	-0.000158523, -0.0423323, 0.0129116, -0.0210491, 0.0190877, 
1900,	1.12849,	-0.000159495, -0.0414948, 0.01296, -0.0203261, 0.0191309, 
2000,	1.11256,	-0.00015878, -0.0407335, 0.012922, -0.0196774, 0.0190462, 
2100,	1.09677,	-0.000156956, -0.0400275, 0.0128261, -0.0190827, 0.0188758, 
2200,	1.0812,	-0.000154416, -0.0393629, 0.0126918, -0.018528, 0.0186486, 
2300,	1.0659,	-0.000151425, -0.0387298, 0.0125323, -0.0180036, 0.0183844, 
2400,	1.05093,	-0.000148166, -0.0381215, 0.0123569, -0.0175029, 0.0180966, 
2500,	1.03628,	-0.000144759, -0.0375331, 0.0121718, -0.0170211, 0.0177947, 
2600,	1.02198,	-0.000141287, -0.0369615, 0.0119813, -0.0165551, 0.017485, 
2700,	1.00803,	-0.000137804, -0.0364042, 0.0117883, -0.0161024, 0.0171717, 
2800,	0.994421,	-0.000134346, -0.0358598, 0.0115949, -0.0156617, 0.0168578, 
2900,	0.981159,	-0.000130936, -0.0353269, 0.0114022, -0.0152316, 0.0165452, 
3000,	0.968235,	-0.00012759, -0.0348047, 0.0112112, -0.0148113, 0.0162353, 
3100,	0.955642,	-0.000124317, -0.0342927, 0.0110225, -0.0144002, 0.015929, 
3200,	0.943372,	-0.000121122, -0.0337902, 0.0108366, -0.0139979, 0.0156269, 
3300,	0.931418,	-0.000118008, -0.0332969, 0.0106535, -0.013604, 0.0153292, 
3400,	0.919771,	-0.000114976, -0.0328126, 0.0104736, -0.0132181, 0.0150362, 
3500,	0.908423,	-0.000112026, -0.0323368, 0.0102968, -0.01284, 0.0147481, 
3600,	0.897366,	-0.000109157, -0.0318695, 0.0101232, -0.0124695, 0.0144649, 
3700,	0.886592,	-0.000106367, -0.0314104, 0.00995278, -0.0121064, 0.0141865, 
3800,	0.876093,	-0.000103654, -0.0309593, 0.00978557, -0.0117506, 0.0139131, 
3900,	0.865861,	-0.000101017, -0.0305161, 0.00962153, -0.0114019, 0.0136445, 
4000,	0.855889,	-9.8454e-05, -0.0300806, 0.0094606, -0.0110601, 0.0133806, 
4100,	0.84617,	-9.59624e-05, -0.0296527, 0.00930275, -0.0107251, 0.0131215, 
4200,	0.836697,	-9.35403e-05, -0.0292321, 0.00914793, -0.0103968, 0.012867, 
4300,	0.827462,	-9.11856e-05, -0.0288189, 0.00899609, -0.010075, 0.012617, 
4400,	0.81846,	-8.88963e-05, -0.0284128, 0.00884717, -0.0097596, 0.0123716, 
4500,	0.809683,	-8.66705e-05, -0.0280136, 0.00870114, -0.00945051, 0.0121305, 
4600,	0.801126,	-8.45061e-05, -0.0276214, 0.00855792, -0.00914759, 0.0118938, 
4700,	0.792782,	-8.24014e-05, -0.0272359, 0.00841748, -0.00885073, 0.0116614, 
4800,	0.784646,	-8.03544e-05, -0.0268571, 0.00827977, -0.0085598, 0.0114331, 
4900,	0.776711,	-7.83635e-05, -0.0264847, 0.00814472, -0.0082747, 0.0112089, 
5000,	0.768973,	-7.64268e-05, -0.0261188, 0.00801229, -0.00799531, 0.0109888, 
5100,	0.761426,	-7.45427e-05, -0.0257591, 0.00788244, -0.00772154, 0.0107727, 
5200,	0.754065,	-7.27097e-05, -0.0254056, 0.00775511, -0.00745327, 0.0105604, 
5300,	0.746884,	-7.09261e-05, -0.0250581, 0.00763025, -0.00719041, 0.0103519, 
5400,	0.73988,	-6.91905e-05, -0.0247166, 0.00750783, -0.00693284, 0.0101472, 
