0,	0.379748
1,	0.383494
2,	0.395363
3,	0.32043
4,	0.366057
5,	0.357851
6,	0.376539
7,	0.322044
8,	0.320999
9,	0.346222
10,	0.325278
11,	0.324193
12,	0.368505
13,	0.328266
14,	0.346362
15,	0.300025
16,	0.382656
17,	0.355428
18,	0.303038
19,	0.308365
20,	0.31367
21,	0.319043
22,	0.343116
23,	0.341706
24,	0.321834
25,	0.30802
26,	0.281928
27,	0.330907
28,	0.298645
29,	0.291567
30,	0.284461
31,	0.320508
32,	0.276308
33,	0.330612
34,	0.28671
35,	0.316138
36,	0.308986
37,	0.277672
38,	0.373379
39,	0.269645
40,	0.26254
41,	0.303831
42,	0.338795
43,	0.265927
44,	0.306623
45,	0.264314
46,	0.310669
47,	0.292006
48,	0.33209
49,	0.289961
50,	0.283195
51,	0.346252
52,	0.298448
53,	0.251299
54,	0.244802
55,	0.290135
56,	0.335084
57,	0.299638
58,	0.298579
59,	0.337296
60,	0.302109
61,	0.272934
62,	0.31139
63,	0.282169
64,	0.275752
65,	0.291514
66,	0.285119
67,	0.295346
68,	0.283252
69,	0.298722
70,	0.275722
71,	0.285953
72,	0.317808
73,	0.333007
74,	0.255944
75,	0.298489
76,	0.270299
77,	0.24267
78,	0.263324
79,	0.27872
80,	0.277773
81,	0.29276
82,	0.249457
83,	0.248768
84,	0.274313
85,	0.252666
86,	0.293681
87,	0.261395
88,	0.281571
89,	0.25464
90,	0.258916
91,	0.258077
92,	0.304001
93,	0.236089
94,	0.271355
95,	0.234722
96,	0.229062
97,	0.279123
98,	0.293368
99,	0.252054
100,	0.271429
101,	0.289709
102,	0.244014
103,	0.278039
104,	0.296962
105,	0.246644
106,	0.241031
107,	0.250241
108,	0.264204
109,	0.238852
110,	0.233417
111,	0.237701
112,	0.217647
113,	0.207553
114,	0.25022
115,	0.278514
116,	0.272806
117,	0.219354
118,	0.285417
119,	0.232312
120,	0.264767
121,	0.240375
122,	0.249267
123,	0.253218
124,	0.205774
125,	0.27044
126,	0.269785
127,	0.199518
128,	0.249697
129,	0.216786
