130, 315000
85, 149000
102, 235000
92, 239000
125, 320000
78, 239000
106, 319000
55, 149000
89, 144000
60, 125000
80, 170000
86, 149000
80, 129000
100, 210000
88, 165000
97, 198000
60, 155000
98, 235000
111, 197000
80, 179000
195, 420000
60, 72000
48, 105000
90, 175000
150, 215000
180, 278000
100, 179000
65, 169000
89, 63000
92, 168000
427, 519000
65, 89000
139, 140000
50, 80000
75, 179000
85, 160000
100, 233000
45, 85000
82, 129000
55, 69000
90, 195000
55, 105000
65, 135000
90, 189000
130, 399000
118, 169000
104, 125000
95, 118000
120, 239000
250, 195000
65, 75000
70, 198000
110, 285000
65, 115000
92, 115000
170, 458000
66, 50000
162, 425000
61, 95000
106, 153000
88, 154000
49, 158000
132, 189000
45, 105000
132, 189000
60, 159000
150, 300000
77, 164000
71, 130000
97, 220000
350, 590000
82, 100000
95, 180000
55, 110000
90, 180000
91, 148000
50, 85000
116, 195000
90, 139000
160, 268000
65, 118000
110, 117000
90, 105000
100, 148000
90, 105000
89, 245000
55, 139000
85, 230000
85, 110000
80, 112000
112, 268000
83, 119000
80, 141000
56, 132000
86, 171000
58, 139000
93, 170000
95, 105000
150, 258000
35, 79000
89, 175000
88, 229000
39, 105000
118, 175000
70, 92000
86, 155000
65, 83000
157, 229000
102, 130000
156, 170000
180, 370000
400, 570000
150, 295000
170, 330000
51, 90000
81, 119000
120, 215000
320, 580000
49, 130000
240, 369000
103, 198000
108, 260000
95, 197000
146, 198000
99, 199000
135, 285000
90, 228000
120, 198000
40, 94000
40, 119000
100, 220000
81, 184000
130, 349000
71, 175000
170, 390000
90, 143000
110, 137000
60, 110000
94, 130000
95, 179000
85, 108000
68, 83000
73, 125000
140, 220000
214, 440000
62, 90000
120, 226000
89, 205000
93, 243000
150, 155000
91, 235000
121, 320000
110, 150000
126, 350000
162, 337000
68, 90000
74, 115000
111, 198000
127, 365000
103, 219000
103, 199000
100, 219000
